service_id,domain,domain_ar,subsystem_letter,subsystem,local_ref,name,priority,status,legacy_id,wave,screens
S-SEC-029,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-4,جهات اتصال خارج العائلة,P0,جديدة,,1,
S-SEC-030,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-5,ربط الطوارئ الوطنية,P0,جديدة,,1,
S-SEC-031,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-6,الاستغاثة تعمل دائمًا,P0,جديدة,,1,
S-SEC-032,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-1,كشف الكلمات المريبة,P0,موجودة,S-PAR-021,3,
S-SEC-033,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-2,تحليل المشاعر,P0,موجودة,AI-002,3,
S-SEC-034,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-3,كشف العامية والعربيزي,P0,موجودة,S-PAR-054,3,
S-SEC-035,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-4,كشف الصور الحساسة,P1,موجودة,S-PAR-031,3,
S-SEC-036,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-5,منع الرسائل الجنسية,P1,موجودة,S-PAR-044,3,
S-SEC-037,SEC,الأمن والرعاية,و,مراقبة المحتوى الذكية,و-6,قائمة مراقبة جهات الاتصال,P1,موجودة,S-PAR-040,3,
S-SEC-038,SEC,الأمن والرعاية,ز,مراقبة منصات التواصل,ز-1,مراقبة واتساب,P1,جديدة,,3,
S-SEC-039,SEC,الأمن والرعاية,ز,مراقبة منصات التواصل,ز-2,مراقبة سناب شات,P1,جديدة,,3,
S-SEC-040,SEC,الأمن والرعاية,ز,مراقبة منصات التواصل,ز-3,مراقبة إنستغرام,P1,جديدة,,3,
S-SEC-041,SEC,الأمن والرعاية,ز,مراقبة منصات التواصل,ز-4,مراقبة تيك توك,P1,جديدة,,3,
S-SEC-042,SEC,الأمن والرعاية,ح,مقاومة التحايل,ح-1,منع إلغاء التثبيت,P0,موجودة,S-PAR-038,2,
S-SEC-043,SEC,الأمن والرعاية,ح,مقاومة التحايل,ح-2,كشف VPN,P0,جديدة,,2,
S-SEC-044,SEC,الأمن والرعاية,ح,مقاومة التحايل,ح-3,كشف تعطيل الأذونات,P0,جديدة,,2,
S-SEC-045,SEC,الأمن والرعاية,ح,مقاومة التحايل,ح-4,كشف تغيير وقت الجهاز,P0,جديدة,,2,
S-SEC-046,SEC,الأمن والرعاية,ح,مقاومة التحايل,ح-5,كشف الوضع الآمن / المستخدم الثانوي,P0,جديدة,,2,
S-SEC-047,SEC,الأمن والرعاية,ط,القفل الفوري,ط-1,قفل فوري للجهاز,P0,موجودة,S-PAR-005,2,
S-SEC-048,SEC,الأمن والرعاية,ط,القفل الفوري,ط-2,إيقاف الإنترنت فقط,P0,موجودة,S-PAR-041,2,
S-SEC-049,SEC,الأمن والرعاية,ط,القفل الفوري,ط-3,قفل مؤقت بمؤقت,P1,جديدة,,2,
S-SEC-050,SEC,الأمن والرعاية,ي,التقارير والتحليلات,ي-1,تقارير الاستخدام,P0,موجودة,S-PAR-002,3,
S-SEC-051,SEC,الأمن والرعاية,ي,التقارير والتحليلات,ي-2,تحليلات متقدمة,P1,موجودة,S-PAR-047,3,
S-SEC-052,SEC,الأمن والرعاية,ي,التقارير والتحليلات,ي-3,الاحتفاظ ٣٠ يومًا,P0,جديدة,,3,
S-SEC-053,SEC,الأمن والرعاية,ي,التقارير والتحليلات,ي-4,الملخص الأسبوعي بالبريد,P1,جديدة,,3,
S-SEC-054,SEC,الأمن والرعاية,ي,التقارير والتحليلات,ي-5,المقارنة مع الأقران,P3,موجودة,S-PAR-048,3,
S-SEC-055,SEC,الأمن والرعاية,ك,السلامة الحركية والقيادة,ك-1,كشف الحوادث,P2,جديدة,,3,
S-SEC-056,SEC,الأمن والرعاية,ك,السلامة الحركية والقيادة,ك-2,تقرير القيادة,P2,موجودة,S-PAR-050,3,
S-SEC-057,SEC,الأمن والرعاية,ك,السلامة الحركية والقيادة,ك-3,تنبيه استخدام الجوال أثناء القيادة,P2,جديدة,,3,
S-SEC-058,SEC,الأمن والرعاية,ل,وضع المدرسة,ل-1,جدول وضع المدرسة,P0,موجودة,S-PAR-052,2,
S-SEC-059,SEC,الأمن والرعاية,ل,وضع المدرسة,ل-2,التفعيل التلقائي بالموقع,P1,جديدة,,2,
S-SEC-060,SEC,الأمن والرعاية,ل,وضع المدرسة,ل-3,حالة Focus,P0,موجودة,S-PAR-034,2,
S-COM-001,COM,التواصل,أ,المحادثات,أ-1,محادثة عائلية جماعية,P0,موجودة,S-COM-001,1,
S-COM-002,COM,التواصل,أ,المحادثات,أ-2,محادثة فردية,P0,موجودة,S-COM-002,1,
S-COM-003,COM,التواصل,أ,المحادثات,أ-3,مجموعات فرعية,P0,موجودة,S-COM-003,1,
S-COM-004,COM,التواصل,أ,المحادثات,أ-4,الرد على رسالة,P0,موجودة,S-COM-004,1,
S-COM-005,COM,التواصل,أ,المحادثات,أ-5,تأكيد القراءة,P0,موجودة,S-COM-011,1,
S-COM-006,COM,التواصل,أ,المحادثات,أ-6,تعديل الرسالة,P0,جديدة,,1,
S-COM-007,COM,التواصل,أ,المحادثات,أ-7,حذف للجميع,P0,جديدة,,1,
S-COM-008,COM,التواصل,أ,المحادثات,أ-8,تثبيت رسالة,P1,جديدة,,1,
S-COM-009,COM,التواصل,أ,المحادثات,أ-9,قفل المحادثة,P1,موجودة,S-COM-052,1,
S-COM-010,COM,التواصل,ب,المكالمات,ب-1,مكالمة صوتية,P0,موجودة,S-COM-006,1,
S-COM-011,COM,التواصل,ب,المكالمات,ب-2,مكالمة فيديو,P0,موجودة,S-COM-007,1,
S-COM-012,COM,التواصل,ب,المكالمات,ب-3,مكالمة جماعية,P1,موجودة,S-COM-045,1,
S-COM-013,COM,التواصل,ب,المكالمات,ب-4,سجل المكالمات,P0,جديدة,,1,
S-COM-014,COM,التواصل,ب,المكالمات,ب-5,الاتصال يعمل دائمًا,P0,جديدة,,1,
S-COM-015,COM,التواصل,ب,المكالمات,ب-6,ألعاب ورسم أثناء المكالمة,P2,جديدة,,3,
S-COM-016,COM,التواصل,ج,الوسائط والملفات,ج-1,صور وفيديو,P0,موجودة,S-COM-010,2,
S-COM-017,COM,التواصل,ج,الوسائط والملفات,ج-2,الملفات,P0,موجودة,S-COM-025,2,
S-COM-018,COM,التواصل,ج,الوسائط والملفات,ج-3,الرسائل الصوتية,P0,موجودة,S-COM-029,2,
S-COM-019,COM,التواصل,ج,الوسائط والملفات,ج-4,تفريغ الرسالة الصوتية نصًا,P1,جديدة,,2,
S-COM-020,COM,التواصل,ج,الوسائط والملفات,ج-5,الملصقات والخلفيات,P2,موجودة,S-COM-053,3,
S-COM-021,COM,التواصل,د,دائرة الاتصال الآمنة,د-1,جهات اتصال خارجية بموافقة الأب,P0,جديدة,,3,
S-COM-022,COM,التواصل,د,دائرة الاتصال الآمنة,د-2,طلب إضافة صديق,P0,جديدة,,3,
S-COM-023,COM,التواصل,د,دائرة الاتصال الآمنة,د-3,حظر المجهولين تمامًا,P0,جديدة,,3,
S-COM-024,COM,التواصل,د,دائرة الاتصال الآمنة,د-4,دائرة الأقارب,P0,جديدة,,3,
S-COM-025,COM,التواصل,د,دائرة الاتصال الآمنة,د-5,جدول التواصل,P1,جديدة,,3,
S-COM-026,COM,التواصل,هـ,التقويم العائلي,هـ-1,إضافة حدث,P0,موجودة,S-COM-030,2,
S-COM-027,COM,التواصل,هـ,التقويم العائلي,هـ-2,تعديل/حذف حدث,P0,موجودة,S-COM-031,2,
S-COM-028,COM,التواصل,هـ,التقويم العائلي,هـ-3,التقويم الهجري + الميلادي,P0,جديدة,,2,
S-COM-029,COM,التواصل,هـ,التقويم العائلي,هـ-4,ألوان لكل فرد,P0,جديدة,,2,
S-COM-030,COM,التواصل,هـ,التقويم العائلي,هـ-5,مواقيت الصلاة في التقويم,P0,جديدة,,2,
S-COM-031,COM,التواصل,هـ,التقويم العائلي,هـ-6,الملخص اليومي/الأسبوعي,P1,جديدة,,2,
S-COM-032,COM,التواصل,و,المهام والمسؤوليات,و-1,إنشاء مهمة وتذكير,P0,موجودة,S-COM-032,2,
S-COM-033,COM,التواصل,و,المهام والمسؤوليات,و-2,إسناد مهمة لابن,P0,جديدة,,2,
S-COM-034,COM,التواصل,و,المهام والمسؤوليات,و-3,تأكيد الإنجاز,P0,جديدة,,2,
S-COM-035,COM,التواصل,و,المهام والمسؤوليات,و-4,ربط المهمة بمكافأة,P0,جديدة,,2,
S-COM-036,COM,التواصل,و,المهام والمسؤوليات,و-5,ChoreAI,P2,موجودة,S-COM-051,3,
S-COM-037,COM,التواصل,ز,الموقع في التواصل,ز-1,بث الموقع اللحظي,P0,موجودة,S-COM-035,2,
S-COM-038,COM,التواصل,ز,الموقع في التواصل,ز-2,«أنا وصلت» بضغطة,P0,جديدة,,2,
S-COM-039,COM,التواصل,ز,الموقع في التواصل,ز-3,طلب موقع,P0,جديدة,,2,
S-EDU-001,EDU,التعليم,أ,المواد والدروس,أ-1,إضافة مادة,P0,موجودة,S-EDU-001,2,
S-EDU-002,EDU,التعليم,أ,المواد والدروس,أ-2,عرض المواد,P0,موجودة,S-EDU-002,2,
S-EDU-003,EDU,التعليم,أ,المواد والدروس,أ-3,إضافة درس,P0,موجودة,S-EDU-003,2,
S-EDU-004,EDU,التعليم,أ,المواد والدروس,أ-4,عرض درس,P0,موجودة,S-EDU-004,2,
S-EDU-005,EDU,التعليم,أ,المواد والدروس,أ-5,استيراد درس من مصدر خارجي,P0,جديدة,,2,
S-EDU-006,EDU,التعليم,أ,المواد والدروس,أ-6,مكتبة فيديو,P1,موجودة,S-EDU-060,2,
S-EDU-007,EDU,التعليم,ب,الواجبات,ب-1,إنشاء واجب,P0,موجودة,S-EDU-009,2,
S-EDU-008,EDU,التعليم,ب,الواجبات,ب-2,عرض واجب,P0,موجودة,S-EDU-010,2,
S-EDU-009,EDU,التعليم,ب,الواجبات,ب-3,إرسال واجب,P0,موجودة,S-EDU-011,2,
S-EDU-010,EDU,التعليم,ب,الواجبات,ب-4,تصحيح تلقائي بالعقل,P0,موجودة,S-EDU-013,2,
S-EDU-011,EDU,التعليم,ب,الواجبات,ب-5,حالة الواجب,P0,موجودة,S-EDU-014,2,
S-EDU-012,EDU,التعليم,ب,الواجبات,ب-6,تنبيه الواجب المتأخر,P0,جديدة,,2,
S-EDU-013,EDU,التعليم,ج,الاختبارات والتقييم,ج-1,إنشاء اختبار,P0,موجودة,S-EDU-017,2,
S-EDU-014,EDU,التعليم,ج,الاختبارات والتقييم,ج-2,أداء اختبار,P0,موجودة,S-EDU-019,2,
S-EDU-015,EDU,التعليم,ج,الاختبارات والتقييم,ج-3,نتائج الاختبار,P0,موجودة,S-EDU-020,2,
S-EDU-016,EDU,التعليم,ج,الاختبارات والتقييم,ج-4,اختبار تحديد المستوى,P0,موجودة,S-EDU-052,2,
S-EDU-017,EDU,التعليم,ج,الاختبارات والتقييم,ج-5,توليد أسئلة من الدرس,P0,جديدة,,2,
S-EDU-018,EDU,التعليم,ج,الاختبارات والتقييم,ج-6,تقارير فجوات المهارات,P1,موجودة,S-EDU-059,2,
S-EDU-019,EDU,التعليم,د,المعلم الذكي,د-1,معلم خصوصي ذكي,P0,موجودة,S-EDU-046,2,
S-EDU-020,EDU,التعليم,د,المعلم الذكي,د-2,شرح بالتدرّج لا بالجواب,P0,جديدة,,2,
S-EDU-021,EDU,التعليم,د,المعلم الذكي,د-3,حل مسألة بالكاميرا,P1,جديدة,,2,
S-EDU-022,EDU,التعليم,د,المعلم الذكي,د-4,توصيات مهارات,P1,موجودة,S-EDU-053,2,
S-EDU-023,EDU,التعليم,د,المعلم الذكي,د-5,كتابة إبداعية,P1,موجودة,S-EDU-055,2,
S-EDU-024,EDU,التعليم,د,المعلم الذكي,د-6,قصص تفاعلية,P2,موجودة,S-EDU-054,3,
S-EDU-025,EDU,التعليم,هـ,التعلّم التكيفي,هـ-1,تعلّم تكيفي,P0,موجودة,S-EDU-047,3,
S-EDU-026,EDU,التعليم,هـ,التعلّم التكيفي,هـ-2,تمارين متدرجة,P0,موجودة,S-EDU-051,3,
S-EDU-027,EDU,التعليم,هـ,التعلّم التكيفي,هـ-3,مسارات بصرية,P1,موجودة,S-EDU-049,3,
S-EDU-028,EDU,التعليم,هـ,التعلّم التكيفي,هـ-4,المراجعة المتباعدة,P0,جديدة,,3,
S-EDU-029,EDU,التعليم,هـ,التعلّم التكيفي,هـ-5,كشف المفهوم المفقود,P1,جديدة,,3,
S-EDU-030,EDU,التعليم,و,التحفيز والمكافآت,و-1,نقاط,P0,موجودة,S-EDU-024,2,
S-EDU-031,EDU,التعليم,و,التحفيز والمكافآت,و-2,شارات,P0,موجودة,S-EDU-028,2,
S-EDU-032,EDU,التعليم,و,التحفيز والمكافآت,و-3,استبدال النقاط بوقت شاشة,P0,موجودة,S-EDU-029,2,
S-EDU-033,EDU,التعليم,و,التحفيز والمكافآت,و-4,XP ومستويات,P0,موجودة,S-EDU-058,2,
S-EDU-034,EDU,التعليم,و,التحفيز والمكافآت,و-5,سلسلة الأيام المتتالية,P0,جديدة,,2,
S-EDU-035,EDU,التعليم,و,التحفيز والمكافآت,و-6,تحديات يومية,P1,موجودة,S-EDU-057,2,
S-EDU-036,EDU,التعليم,و,التحفيز والمكافآت,و-7,أقسام تنافسية,P2,موجودة,S-EDU-048,3,
S-EDU-037,EDU,التعليم,ز,القرآن والتربية الإسلامية,ز-1,تحفيظ القرآن,P0,موجودة,S-EDU-038,3,
S-EDU-038,EDU,التعليم,ز,القرآن والتربية الإسلامية,ز-2,تلاوة القرآن,P0,موجودة,S-EDU-039,3,
S-EDU-039,EDU,التعليم,ز,القرآن والتربية الإسلامية,ز-3,متابعة الحفظ ومراجعته,P0,جديدة,,3,
S-EDU-040,EDU,التعليم,ز,القرآن والتربية الإسلامية,ز-4,تصحيح التلاوة بالعقل,P2,جديدة,,3,
S-EDU-041,EDU,التعليم,ز,القرآن والتربية الإسلامية,ز-5,الأذكار والعبادات اليومية,P1,جديدة,,3,
S-EDU-042,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-1,وضع التركيز,P0,موجودة,S-EDU-034,2,
S-EDU-043,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-2,مؤقّت التركيز,P0,موجودة,S-EDU-035,2,
S-EDU-044,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-3,وقت التعليم مجاني دائمًا,P0,قاعدة حاكمة,,2,
S-EDU-045,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-4,جدول المذاكرة,P1,جديدة,,2,
S-EDU-046,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-5,تقرير التركيز للأب,P1,جديدة,,2,
S-EDU-047,EDU,التعليم,ح,التركيز وبيئة الدراسة,ح-6,صوت خلفي للتركيز,P2,جديدة,,3,
S-EDU-048,EDU,التعليم,ط,استوديو الأب,ط-1,إنشاء من الكاميرا — تصوير صفحة الكتاب,P0,جديدة,,2,
S-EDU-049,EDU,التعليم,ط,استوديو الأب,ط-2,إنشاء من رابط,P0,جديدة,,2,
S-EDU-050,EDU,التعليم,ط,استوديو الأب,ط-3,إنشاء من ملف,P0,جديدة,,2,
S-EDU-051,EDU,التعليم,ط,استوديو الأب,ط-4,إنشاء من موضوع فقط,P0,جديدة,,2,
S-EDU-052,EDU,التعليم,ط,استوديو الأب,ط-5,إنشاء من شرح صوتي,P1,جديدة,,2,
S-EDU-053,EDU,التعليم,ط,استوديو الأب,ط-6,استيراد من مكتبة المجتمع,P0,جديدة,,2,
S-EDU-054,EDU,التعليم,ط,استوديو الأب,ط-7,توليد درس,P0,جديدة,,2,
S-EDU-055,EDU,التعليم,ط,استوديو الأب,ط-8,توليد واجب,P0,جديدة,,2,
S-EDU-056,EDU,التعليم,ط,استوديو الأب,ط-9,توليد اختبار,P0,جديدة,,2,
S-EDU-057,EDU,التعليم,ط,استوديو الأب,ط-10,توليد بطاقات حفظ,P0,جديدة,,2,
S-EDU-058,EDU,التعليم,ط,استوديو الأب,ط-11,توليد تحدٍّ بمكافأة,P0,جديدة,,2,
S-EDU-059,EDU,التعليم,ط,استوديو الأب,ط-12,توليد لعبة مراجعة,P1,جديدة,,2,
S-EDU-060,EDU,التعليم,ط,استوديو الأب,ط-13,توليد ورد حفظ قرآني,P0,جديدة,,2,
S-EDU-061,EDU,التعليم,ط,استوديو الأب,ط-14,بناء مسار تعليمي,P1,جديدة,,2,
S-EDU-062,EDU,التعليم,ط,استوديو الأب,ط-15,إنشاء مشروع بمراحل,P2,جديدة,,3,
S-EDU-063,EDU,التعليم,ط,استوديو الأب,ط-16,النشر في مكتبة المجتمع,P0,جديدة,,2,
S-EDU-064,EDU,التعليم,ط,استوديو الأب,ط-17,شاشة «اقتراحات العقل اليوم»,P0,جديدة,,2,
S-EDU-065,EDU,التعليم,ط,استوديو الأب,ط-18,إسناد المحتوى وتحديد المكافأة,P0,جديدة,,2,
S-AIC-001,AIC,الذكاء,أ,محرك الرصد,أ-1,مصنّف الكلمات الخطرة,P0,موجودة,AI-002,1,
S-AIC-002,AIC,الذكاء,أ,محرك الرصد,أ-2,رصد الأحداث من كل المجالات,P0,جديدة,,1,
S-AIC-003,AIC,الذكاء,أ,محرك الرصد,أ-3,تقييم درجة الخطورة,P0,جديدة,,1,
S-AIC-004,AIC,الذكاء,أ,محرك الرصد,أ-4,كشف الصور الحساسة,P0,موجودة,AI-005,1,
S-AIC-005,AIC,الذكاء,أ,محرك الرصد,أ-5,قائمة القواعد القابلة للتحديث,P0,جديدة,,1,
S-AIC-006,AIC,الذكاء,أ,محرك الرصد,أ-6,مقتطف التنبيه لا الأرشيف,P0,قاعدة حاكمة,,1,
S-AIC-007,AIC,الذكاء,ب,محرك الأنماط والشذوذ,ب-1,بناء خط الأساس,P0,جديدة,,2,
S-AIC-008,AIC,الذكاء,ب,محرك الأنماط والشذوذ,ب-2,كشف شذوذ النوم والنشاط,P0,موجودة,AI-009,2,
S-AIC-009,AIC,الذكاء,ب,محرك الأنماط والشذوذ,ب-3,كشف شذوذ التواصل,P0,جديدة,,2,
S-AIC-010,AIC,الذكاء,ب,محرك الأنماط والشذوذ,ب-4,كشف شذوذ التعليم,P0,جديدة,,2,
S-AIC-011,AIC,الذكاء,ب,محرك الأنماط والشذوذ,ب-5,مؤشر الثقة,P0,جديدة,,2,
S-AIC-012,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-1,الخط الزمني الموحّد لكل فرد,P0,جديدة,,2,
S-AIC-013,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-2,ملف الأنماط السلوكية,P0,جديدة,,2,
S-AIC-014,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-3,خريطة الشبكة الاجتماعية,P1,جديدة,,2,
S-AIC-015,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-4,خريطة المسار التعليمي,P0,جديدة,,2,
S-AIC-016,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-5,الربط عبر المجالات,P0,جديدة,,2,
S-AIC-017,AIC,الذكاء,ج,مخزن المعرفة العائلية,ج-6,زر النسيان,P0,جديدة,,2,
S-AIC-018,AIC,الذكاء,د,المستشار والتقارير,د-1,المعلم الذكي,P0,موجودة,AI-003,3,
S-AIC-019,AIC,الذكاء,د,المستشار والتقارير,د-2,التقرير الأسبوعي بتوصية,P1,موجودة,AI-011,3,
S-AIC-020,AIC,الذكاء,د,المستشار والتقارير,د-3,تصحيح الواجبات,P0,موجودة,AI-004,3,
S-AIC-021,AIC,الذكاء,د,المستشار والتقارير,د-4,توليد محتوى الاستوديو,P0,موجودة,AI-007,3,
S-AIC-022,AIC,الذكاء,د,المستشار والتقارير,د-5,تنبيه النمط الخطر,P1,جديدة,,3,
S-AIC-023,AIC,الذكاء,د,المستشار والتقارير,د-6,تحليل تلاوة القرآن,P2,موجودة,AI-008,3,
S-AIC-024,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-1,سؤال العقل بلغة طبيعية,P1,موجودة,AI-001,3,
S-AIC-025,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-2,الاسترجاع من مخزن المعرفة,P1,جديدة,,3,
S-AIC-026,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-3,«لا أعلم» عند نقص البيانات,P1,جديدة,,3,
S-AIC-027,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-4,محادثة صوتية,P2,موجودة,AI-006,3,
S-AIC-028,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-5,اقتراحات استباقية للأب,P1,جديدة,,3,
S-AIC-029,AIC,الذكاء,هـ,المساعد التفاعلي,هـ-6,إخطار الأم بالتحليلات,P1,قاعدة حاكمة,,3,
S-AIC-030,AIC,الذكاء,و,الوكيل المفوَّض,و-1,بناء قاعدة تفويض,P2,جديدة,,3,
S-AIC-031,AIC,الذكاء,و,الوكيل المفوَّض,و-2,التنفيذ التلقائي ضمن التفويض,P2,جديدة,,3,
S-AIC-032,AIC,الذكاء,و,الوكيل المفوَّض,و-3,إشعار فوري بكل تصرّف,P2,جديدة,,3,
S-AIC-033,AIC,الذكاء,و,الوكيل المفوَّض,و-4,زر التراجع خلال ١٠ دقائق,P2,جديدة,,3,
S-AIC-034,AIC,الذكاء,و,الوكيل المفوَّض,و-5,سجل تدقيق دائم,P2,جديدة,,3,
S-ADM-001,ADM,الإدارة,أ,الإعداد الأول,أ-1,إنشاء حساب,P0,جديدة,,1,
S-ADM-002,ADM,الإدارة,أ,الإعداد الأول,أ-2,معالج الإعداد المتدرج,P0,جديدة,,1,
S-ADM-003,ADM,الإدارة,أ,الإعداد الأول,أ-3,ربط جهاز الابن بـQR,P0,موجودة,S-ADM-009,1,
S-ADM-004,ADM,الإدارة,أ,الإعداد الأول,أ-4,شرح الصلاحيات بالفيديو,P0,جديدة,,1,
S-ADM-005,ADM,الإدارة,أ,الإعداد الأول,أ-5,مؤشر اكتمال الإعداد,P0,جديدة,,1,
S-ADM-006,ADM,الإدارة,أ,الإعداد الأول,أ-6,وضع التجربة قبل الربط,P0,جديدة,,1,
S-ADM-007,ADM,الإدارة,أ,الإعداد الأول,أ-7,استئناف الإعداد لاحقًا,P0,جديدة,,1,
S-ADM-008,ADM,الإدارة,ب,العائلة والأعضاء,ب-1,لوحة الإدارة,P0,موجودة,S-ADM-001,1,
S-ADM-009,ADM,الإدارة,ب,العائلة والأعضاء,ب-2,دعوة أعضاء,P0,موجودة,S-ADM-002,1,
S-ADM-010,ADM,الإدارة,ب,العائلة والأعضاء,ب-3,إدارة الأدوار,P0,موجودة,S-ADM-003,1,
S-ADM-011,ADM,الإدارة,ب,العائلة والأعضاء,ب-4,قبول/رفض دعوة,P0,موجودة,S-ADM-004,1,
S-ADM-012,ADM,الإدارة,ب,العائلة والأعضاء,ب-5,حدود متدرجة حسب الباقة,P0,موجودة,S-ADM-006,1,
S-ADM-013,ADM,الإدارة,ب,العائلة والأعضاء,ب-6,الوصي البديل,P1,جديدة,,1,
S-ADM-014,ADM,الإدارة,ج,الأجهزة,ج-1,ربط جهاز الابن,P0,موجودة,S-ADM-009,1,
S-ADM-015,ADM,الإدارة,ج,الأجهزة,ج-2,إدارة الأجهزة,P0,موجودة,S-ADM-010,1,
S-ADM-016,ADM,الإدارة,ج,الأجهزة,ج-3,صحة الجهاز,P0,جديدة,,1,
S-ADM-017,ADM,الإدارة,ج,الأجهزة,ج-4,تنبيه فقدان الاتصال,P0,جديدة,,1,
