screen_id,app,tab,name,journey,services,wave,type,notes
SCR-FAT-011,الوالدان,اليوم,اقتراحات العقل,JRN-FAT-05,S-ADM-039;S-AIC-003,1,قائمة,ثلاث ضغطات جاهزة
SCR-FAT-012,الوالدان,أبنائي,قائمة الأبناء,JRN-FAT-06;JRN-MOT-03,S-ADM-038;S-ADM-015,1,قائمة,مؤشر لوني لكل ابن
SCR-FAT-013,الوالدان,أبنائي,ملف الابن,JRN-FAT-06;JRN-MOT-03,S-ADM-038;S-SEC-019;S-SEC-025;S-AIC-003,1,تفصيل,كل شيء عن ابن واحد في مكان واحد
SCR-FAT-014,الوالدان,أبنائي,خريطة الموقع,JRN-FAT-07;JRN-MOT-06,S-SEC-019;S-SEC-025,1,خريطة,موقع لحظي + بطارية
SCR-FAT-015,الوالدان,أبنائي,سجل المواقع,JRN-FAT-07,S-SEC-020;S-SEC-023,1,قائمة,خط زمني للأماكن + الأماكن المتكررة
SCR-FAT-016,الوالدان,أبنائي,المناطق الآمنة,JRN-FAT-08,S-SEC-021;S-SEC-022,1,قائمة,إدارة المناطق المحفوظة
SCR-FAT-017,الوالدان,أبنائي,إنشاء منطقة آمنة,JRN-FAT-08,S-SEC-021;S-SEC-022;S-SEC-024,1,نموذج,خريطة + نصف قطر + تنبيهات
SCR-FAT-018,الوالدان,-,بلاغ استغاثة,JRN-FAT-09;JRN-MOT-05,S-SEC-026;S-SEC-027;S-SEC-028;S-SEC-030,1,طارئة,تخترق الكتم — أعلى أولوية بصرية
SCR-FAT-028,الوالدان,الإعدادات,إعداد الطوارئ,JRN-FAT-08;JRN-FAT-09,S-SEC-029;S-SEC-030;S-SEC-026,1,نموذج,جهات اتصال الطوارئ خارج العائلة + الرقم الوطني
SCR-FAT-019,الوالدان,اليوم,مركز التنبيهات,JRN-FAT-10,S-AIC-002;S-AIC-003;S-AIC-006,1,قائمة,مجمّعة بدرجات الإلحاح
SCR-FAT-020,الوالدان,اليوم,تفصيل التنبيه,JRN-FAT-10,S-AIC-006;S-AIC-001;S-AIC-003,1,تفصيل,مقتطف لا أرشيف
SCR-FAT-021,الوالدان,العائلة,قائمة المحادثات,JRN-FAT-11;JRN-MOT-04,S-COM-001;S-COM-002;S-COM-003;S-COM-040;S-COM-041;S-COM-042,1,قائمة,محادثات مثبتة أعلى
SCR-FAT-022,الوالدان,العائلة,المحادثة,JRN-FAT-11;JRN-MOT-04,S-COM-001;S-COM-002;S-COM-004;S-COM-005;S-COM-006;S-COM-007;S-COM-008;S-COM-040;S-COM-041;S-COM-042,1,محادثة,تعديل 15 دقيقة + حذف للجميع
SCR-FAT-023,الوالدان,العائلة,مكالمة جارية,JRN-FAT-12;JRN-MOT-04,S-COM-010;S-COM-011;S-COM-012,1,مكالمة,صوت وفيديو — LiveKit
SCR-FAT-024,الوالدان,العائلة,سجل المكالمات,JRN-FAT-12,S-COM-013,1,قائمة,واردة وصادرة وفائتة
SCR-FAT-025,الوالدان,الإعدادات,الإعدادات,JRN-FAT-13;JRN-FAT-14,S-ADM-015;S-ADM-016;S-ADM-018,1,قائمة,مؤشر صحة لكل جهاز
SCR-FAT-026,الوالدان,الإعدادات,تفصيل الجهاز,JRN-FAT-13;JRN-FAT-14,S-ADM-016;S-ADM-017;S-ADM-018,1,تفصيل,الصلاحيات الناقصة + إصلاحها
SCR-FAT-027,الوالدان,الإعدادات,أعضاء العائلة,JRN-FAT-04,S-ADM-008;S-ADM-010;S-ADM-012;S-ADM-013,1,قائمة,الأدوار والوصي البديل
SCR-FAT-029,الوالدان,الإعدادات,لوحة تحكم العقل,JRN-FAT-10,S-AIC-004;S-AIC-005;S-AIC-002;S-AIC-003;S-ADM-033,1,إعدادات,مستوى العقل لكل ابن + نطاق الرصد
SCR-CHD-001,الابن,-,ترحيب الابن,JRN-CHD-01,S-ADM-003,1,مدخل,بلغة مناسبة لعمره
SCR-CHD-002,الابن,-,مسح رمز الربط,JRN-CHD-01,S-ADM-003;S-ADM-014,1,كاميرا,مسح QR من جهاز الوالد
SCR-CHD-003,الابن,-,إقرار الشفافية,JRN-CHD-01;JRN-CHD-05,S-ADM-004,1,إقرار,ماذا يرى والداك — بتوقيع الابن
SCR-CHD-004,الابن,يومي,لوحة يومي,JRN-CHD-02,S-ADM-036;S-SEC-025,1,لوحة,وقتي ونقاطي — لا لوحة عقوبات
SCR-CHD-005,الابن,-,زر الاستغاثة,JRN-CHD-03,S-SEC-026;S-SEC-027;S-SEC-031,1,طارئة,يعمل دائمًا — بلا إنترنت وبلا اشتراك
SCR-CHD-006,الابن,-,الاستغاثة جارية,JRN-CHD-03,S-SEC-027;S-SEC-028,1,طارئة,بث الموقع + اتصال تلقائي
SCR-CHD-007,الابن,عائلتي,محادثاتي,JRN-CHD-04,S-COM-001;S-COM-002,1,قائمة,محادثات العائلة
SCR-CHD-008,الابن,عائلتي,المحادثة,JRN-CHD-04,S-COM-001;S-COM-002;S-COM-004;S-COM-005;S-COM-006;S-COM-007;S-COM-009,1,محادثة,لا تُقفل أبدًا حتى بنفاد الوقت
SCR-CHD-009,الابن,عائلتي,مكالمة,JRN-CHD-04,S-COM-010;S-COM-011;S-COM-014,1,مكالمة,الاتصال بالوالدين يعمل دائمًا
SCR-CHD-010,الابن,أنا,ماذا يُجمع عني,JRN-CHD-05,S-ADM-004;S-ADM-035,1,شفافية,فئات البيانات — لا الملف السلوكي
SCR-SHR-005,مشترك,-,خطأ الشبكة,JRN-SHR-01,S-ADM-017,1,خطأ,رسالة واضحة + إعادة محاولة
SCR-SHR-006,مشترك,-,حالة فارغة,JRN-SHR-01,S-ADM-017,1,فارغة,قالب موحد لكل القوائم
SCR-SHR-007,مشترك,-,اختيار الوضع (شاشة عمر محايدة),JRN-FAT-01,S-ADM-001,1,مدخل,خياران متساويان: وليّ الأمر / ابني · الدور يحدده الأب لاحقًا لا المستخدم
SCR-SHR-008,مشترك,-,تبديل المستخدم على الجهاز,JRN-FAT-01,S-ADM-002,1,إجراء,الأب/الأم/معاينة الابن · كلمة مرور للتبديل بين الوالدين
SCR-CHD-011,الابن,أنا,قفل وضع الابن + المدخل السري,JRN-CHD-01,S-ADM-002,1,إجراء,ضغطة 10 ثوان + كلمة مرور + موافقة جهاز الأب · 3 محاولات = قفل 24 ساعة
SCR-FAT-030,الوالدان,الإعدادات,طلب فتح وضع الوالد (المفتاح الثاني),JRN-FAT-01,S-ADM-002,1,إجراء,سماح 10 دقائق أو رفض · كل محاولة تُخطر الأب
SCR-FAT-031,الوالدان,الإعدادات,مستوى صلاحية الأم,JRN-FAT-04,S-ADM-010,1,إجراء,ثلاثة مستويات: مطّلعة / مشاركة / كاملة · الأب يغيرها متى شاء · الاتصال والاستغاثة خارج التدرج
SCR-FAT-032,الوالدان,أبنائي,وقت الشاشة لابن,JRN-FAT-15,S-SEC-001;S-SEC-002;S-SEC-003;S-SEC-006;S-SEC-007,2,نموذج,حد يومي + جداول + نوم + حد لكل تطبيق + التعليم لا يُحتسب
SCR-FAT-033,الوالدان,أبنائي,طلبات الوقت الإضافي,JRN-FAT-15;JRN-MOT-07,S-SEC-004;S-SEC-005,2,قائمة,موافقة/رفض + مكافأة وقت بالإنجاز — للمشاركة فما فوق
SCR-FAT-034,الوالدان,أبنائي,تطبيقات الابن,JRN-FAT-16,S-SEC-008;S-SEC-009;S-SEC-012;S-SEC-013,2,قائمة,حظر/سماح + قواعد فئات + بطاقة معلومات التطبيق
SCR-FAT-035,الوالدان,أبنائي,موافقة تطبيق جديد,JRN-FAT-16,S-SEC-010;S-SEC-011,2,تفصيل,تنبيه تثبيت + قرار خلال بطاقة واحدة
SCR-FAT-036,الوالدان,أبنائي,فلترة الإنترنت,JRN-FAT-17,S-SEC-014;S-SEC-015;S-SEC-016;S-SEC-017,2,نموذج,٢٩ فئة + استثناءات + بحث آمن + حجب التصفح الخفي
SCR-FAT-037,الوالدان,أبنائي,القفل الفوري,JRN-FAT-18,S-SEC-047;S-SEC-048;S-SEC-049,2,نموذج,قفل كامل أو إنترنت فقط أو بمؤقت — بنبرة لطيفة للابن
SCR-FAT-038,الوالدان,أبنائي,تنبيهات التحايل,JRN-FAT-19,S-SEC-042;S-SEC-043;S-SEC-044;S-SEC-045;S-SEC-046,2,قائمة,VPN · تعطيل أذونات · تغيير وقت · وضع آمن — إشارة حوار لا محاكمة
SCR-FAT-039,الوالدان,أبنائي,وضع المدرسة [محذوفة نهائيًا بقرار أد-١٢ + ق-١٢ في 37],JRN-FAT-20,S-SEC-058;S-SEC-059;S-SEC-060,2,نموذج,جدول أسبوعي + تفعيل تلقائي بالموقع + حالة Focus
SCR-FAT-040,الوالدان,التعليم,لوحة الاستوديو,JRN-FAT-21,S-EDU-064,2,لوحة,اقتراحات العقل اليوم + آخر المحتوى + زر إنشاء كبير
SCR-FAT-041,الوالدان,التعليم,أضف من أي مصدر,JRN-FAT-21,S-EDU-048;S-EDU-049;S-EDU-050;S-EDU-051;S-EDU-052;S-EDU-053,2,قائمة,الكاميرا أولًا · رابط · ملف · موضوع · صوت · مكتبة المجتمع
SCR-FAT-042,الوالدان,التعليم,التقاط من الكاميرا,JRN-FAT-21,S-EDU-048,2,التقاط,تصوير صفحة الكتاب — أول بوابة
SCR-FAT-043,الوالدان,التعليم,مخرجات التوليد,JRN-FAT-21,S-EDU-054;S-EDU-055;S-EDU-056;S-EDU-057;S-EDU-058;S-EDU-059;S-EDU-060;S-AIC-021,2,قائمة,مصدر واحد ← ٩ مخرجات · قفل التوليد الآلي للمحتوى الديني
SCR-FAT-044,الوالدان,التعليم,معاينة واعتماد,JRN-FAT-21,S-EDU-054;S-EDU-056;S-AIC-021,2,تفصيل,قاعدة ٩٠ ثانية — الأب يعتمد ولا يؤلف
SCR-FAT-045,الوالدان,التعليم,الإسناد والمكافأة,JRN-FAT-21,S-EDU-065;S-EDU-058,2,نموذج,إسناد لابن + مكافأة نقاط/وقت + موعد
SCR-FAT-046,الوالدان,التعليم,مكتبة المجتمع,JRN-FAT-22,S-EDU-053;S-EDU-063,2,قائمة,استيراد ونشر بالضوابط الستة
SCR-FAT-047,الوالدان,التعليم,المسار التعليمي,JRN-FAT-23,S-EDU-061,2,تفصيل,سلسلة دروس مرتبة لهدف
SCR-FAT-048,الوالدان,التعليم,المواد والدروس,JRN-FAT-23,S-EDU-001;S-EDU-002;S-EDU-003;S-EDU-005;S-EDU-006,2,قائمة,إضافة مادة ودرس واستيراد خارجي
SCR-FAT-049,الوالدان,التعليم,إنشاء واجب واختبار,JRN-FAT-23,S-EDU-007;S-EDU-013;S-EDU-017,2,نموذج,توليد أسئلة من الدرس
SCR-FAT-050,الوالدان,التعليم,متابعة النتائج,JRN-FAT-23,S-EDU-010;S-EDU-011;S-EDU-012;S-EDU-015;S-EDU-018,2,لوحة,تصحيح تلقائي + حالة الواجبات + فجوات المهارات
SCR-FAT-051,الوالدان,التعليم,تقرير التركيز,JRN-FAT-23,S-EDU-046,2,تفصيل,جلسات التركيز أسبوعيًا
SCR-FAT-052,الوالدان,العائلة,التقويم العائلي,JRN-FAT-24;JRN-MOT-08,S-COM-026;S-COM-027;S-COM-028;S-COM-029;S-COM-030;S-COM-031,2,لوحة,هجري+ميلادي · مواقيت الصلاة · ألوان الأفراد · ملخص
SCR-FAT-053,الوالدان,العائلة,إضافة حدث,JRN-FAT-24,S-COM-026;S-COM-028;S-COM-029;S-COM-030,2,نموذج,تاريخ هجري أو ميلادي + ربط بمواقيت الصلاة
SCR-FAT-054,الوالدان,العائلة,المهام العائلية,JRN-FAT-25;JRN-MOT-08,S-COM-032;S-COM-033;S-COM-034;S-COM-035,2,قائمة,مهام كل فرد + تأكيد الإنجاز
SCR-FAT-055,الوالدان,العائلة,إنشاء مهمة بمكافأة,JRN-FAT-25,S-COM-032;S-COM-033;S-COM-035,2,نموذج,إسناد + مكافأة نقاط أو وقت
SCR-FAT-056,الوالدان,الإعدادات,الباقات والاشتراك,JRN-FAT-26,S-ADM-019;S-ADM-020;S-ADM-021;S-ADM-022,2,عرض,٣ باقات + سنوي · أرقام مؤقتة · SOS لا يُحجب أبدًا
SCR-FAT-057,الوالدان,الإعدادات,إدارة الاشتراك,JRN-FAT-26,S-ADM-023;S-ADM-024,2,نموذج,ترقية/تخفيض + استرجاع مشتريات
SCR-FAT-058,الوالدان,الإعدادات,الإشعارات,JRN-FAT-27,S-ADM-025;S-ADM-026;S-ADM-027;S-ADM-028;S-ADM-029,2,نموذج,قنوات + جدولة + ٣ درجات إلحاح + ملخص بدل تكرار
SCR-FAT-059,الوالدان,الإعدادات,الخصوصية والبيانات,JRN-FAT-28,S-ADM-030;S-ADM-031;S-ADM-032;S-AIC-017,2,نموذج,خصوصية الطفل + تصدير/حذف + زر النسيان
SCR-FAT-060,الوالدان,الإعدادات,سجل التدقيق,JRN-FAT-28,S-ADM-034,2,قائمة,append-only — يُقرأ ولا يُمس
SCR-FAT-061,الوالدان,الإعدادات,اللغة والمساعدة,JRN-FAT-30,S-ADM-040;S-ADM-041;S-ADM-042,2,نموذج,عربي/إنجليزي + مركز مساعدة + دعم
SCR-FAT-062,الوالدان,اليوم,أنماط العائلة,JRN-FAT-29,S-AIC-007;S-AIC-008;S-AIC-009;S-AIC-010;S-AIC-011,2,لوحة,خط الأساس + شذوذ النوم/التواصل/التعليم + مؤشر الثقة
SCR-FAT-063,الوالدان,اليوم,الخط الزمني للفرد,JRN-FAT-29,S-AIC-012;S-AIC-013;S-AIC-016,2,تفصيل,خط موحد + ملف الأنماط + الربط عبر المجالات
SCR-FAT-064,الوالدان,اليوم,خرائط المعرفة,JRN-FAT-29,S-AIC-014;S-AIC-015,2,تفصيل,المسار التعليمي + الشبكة الاجتماعية (P1)
SCR-CHD-012,الابن,تعلّمي,تعلّمي — الرئيسة,JRN-CHD-07,S-EDU-002;S-EDU-033;S-EDU-034,2,لوحة,موادي + XP + سلسلة الأيام
SCR-CHD-013,الابن,تعلّمي,الدرس,JRN-CHD-07,S-EDU-004;S-EDU-005,2,تفصيل,عرض الدرس بأشكاله
SCR-CHD-014,الابن,تعلّمي,واجبي,JRN-CHD-07,S-EDU-008;S-EDU-009;S-EDU-010;S-EDU-011;S-AIC-020,2,نموذج,إرسال + تصحيح تلقائي + الحالة
SCR-CHD-015,الابن,تعلّمي,الاختبار,JRN-CHD-07,S-EDU-014;S-EDU-016,2,نموذج,أداء الاختبار + تحديد المستوى
SCR-CHD-016,الابن,تعلّمي,نتيجتي,JRN-CHD-07,S-EDU-015;S-AIC-020,2,تأكيد,الخطأ لا يُعاقب — تشجيع دائم
SCR-CHD-017,الابن,تعلّمي,معلمي الذكي,JRN-CHD-08,S-EDU-019;S-EDU-020;S-EDU-021;S-EDU-022;S-EDU-023;S-AIC-018,2,محادثة,يشرح بالتدرج ولا يعطي الجواب — نموذج Khanmigo
SCR-CHD-018,الابن,تعلّمي,وضع التركيز,JRN-CHD-09,S-EDU-042;S-EDU-043;S-EDU-044;S-EDU-045;S-SEC-060;S-SEC-007,2,عرض,مؤقت + لا مشتتات + وقت التعليم مجاني
SCR-CHD-019,الابن,أنا,نقاطي وشاراتي,JRN-CHD-10,S-EDU-030;S-EDU-031;S-EDU-032;S-EDU-033;S-EDU-034;S-EDU-035;S-SEC-005,2,لوحة,نقاط + شارات + مستويات + استبدال بوقت
SCR-CHD-020,الابن,يومي,طلب وقت إضافي,JRN-CHD-06,S-SEC-004,2,نموذج,طلب مهذب بسبب — يصل الوالدين
SCR-CHD-021,الابن,يومي,انتهى الوقت — بلطف,JRN-CHD-06,S-SEC-001;S-SEC-003,2,عرض,«انتهى وقت اللعب 🌙» + المحادثة لا تقفل + طلب المزيد
SCR-CHD-022,الابن,يومي,مهامي,JRN-CHD-12,S-COM-032;S-COM-034;S-COM-035,2,قائمة,إنجاز + تأكيد + مكافأة
SCR-CHD-023,الابن,عائلتي,مشاركة وسائط,JRN-CHD-11,S-COM-016;S-COM-017;S-COM-018;S-COM-019,2,نموذج,صور وملفات وصوت + تفريغ نصي
SCR-CHD-024,الابن,عائلتي,أنا وصلت + موقعي,JRN-CHD-11,S-COM-037;S-COM-038;S-COM-039,2,عرض,زر «أنا وصلت» + الرد على طلب موقع
SCR-FAT-065,الوالدان,أبنائي,التنبيهات الذكية,JRN-FAT-31,S-SEC-032;S-SEC-033;S-SEC-034;S-SEC-035;S-SEC-036;S-AIC-022,3,لوحة,كهرماني لا أحمر + يصف السلوك لا الطفل + كشف عربيزي وعامية
SCR-FAT-066,الوالدان,أبنائي,تفصيل التنبيه وخطوة الحوار,JRN-FAT-31,S-SEC-032;S-SEC-033;S-AIC-022,3,تفصيل,السياق كامل + خطوة حوار مقترحة — حوار لا عقاب
SCR-FAT-067,الوالدان,أبنائي,إعدادات الرقابة الذكية,JRN-FAT-32,S-SEC-037,3,إعدادات,قائمة مراقبة جهات الاتصال — والابن يعلم بمبدأ الشفافية
SCR-FAT-068,الوالدان,أبنائي,مراقبة المنصات,JRN-FAT-32,S-SEC-038;S-SEC-039;S-SEC-040;S-SEC-041,3,إعدادات,حالتان معلنتان: كاملة (أندرويد) / تقارير فقط (iOS) — البوابة ٢
SCR-FAT-069,الوالدان,أبنائي,تقرير استخدام الابن,JRN-FAT-33,S-SEC-050;S-SEC-051;S-SEC-052,3,عرض,احتفاظ ٣٠ يومًا + يحترم زر النسيان
SCR-FAT-070,الوالدان,العائلة,الدائرة الخارجية,JRN-FAT-34,S-COM-021;S-COM-023;S-COM-024;S-COM-025,3,قائمة,أقارب وأصدقاء معتمدون + حظر المجهولين افتراض لا يُعطَّل
SCR-FAT-071,الوالدان,العائلة,موافقة طلب صديق,JRN-FAT-34;JRN-CHD-13,S-COM-022;S-COM-023,3,تأكيد,بطاقة واحدة قرار واحد
SCR-FAT-072,الوالدان,أبنائي,متابعة حفظ القرآن,JRN-FAT-35,S-EDU-037;S-EDU-039,3,عرض,خطة الورد والتقدم — تشجيع لا إثقال
SCR-FAT-073,الوالدان,اليوم,التقرير الأسبوعي بتوصية,JRN-FAT-36,S-AIC-019;S-SEC-053;S-AIC-028,3,عرض,توصية واحدة قابلة للتنفيذ + نسخة بريدية + اقتراحات استباقية
SCR-FAT-074,الوالدان,اليوم,عقل عائلتي (المساعد الذكي),JRN-FAT-37,S-AIC-024;S-AIC-025;S-AIC-026,3,محادثة,مدخل الذكاء الموحد — زر ✨ عائم بنمط Gemini/ChatGPT + «لا أعلم» عند نقص البيانات
SCR-FAT-076,الوالدان,اليوم,إخطارات الذكاء للأم,JRN-MOT-09,S-AIC-029,3,قائمة,حسب مستواها الثلاثي — اطلاع دون إغراق
SCR-FAT-075,الوالدان,الإعدادات,ميزات قادمة ✨,JRN-FAT-38,S-SEC-018;S-SEC-054;S-SEC-055;S-SEC-056;S-SEC-057;S-COM-036;S-EDU-040;S-EDU-062;S-AIC-023;S-AIC-027;S-AIC-030;S-AIC-031;S-AIC-032;S-AIC-033;S-AIC-034,3,عرض,فهرس يقود للشاشات الحية لخدمات ٣ب (ADR-023) — التنفيذ البرمجي بعد الإطلاق
SCR-CHD-025,الابن,تعلّمي,وردي — حفظ وتلاوة,JRN-CHD-14,S-EDU-037;S-EDU-038,3,تعليمي,مصحف مرخّص لا توليد — تحت قفل المراجعة الدينية
SCR-CHD-026,الابن,تعلّمي,حفظي وتقدمي,JRN-CHD-14,S-EDU-039,3,عرض,خريطة السور + المراجعات المستحقة
SCR-CHD-027,الابن,يومي,أذكاري اليومية,JRN-CHD-14,S-EDU-041,3,تعليمي,صباح ومساء — تذكير لطيف لا إلزام
SCR-CHD-028,الابن,تعلّمي,خطتي الذكية,JRN-CHD-15,S-EDU-025;S-EDU-026;S-EDU-027;S-EDU-029,3,لوحة,تكيفي + مسار بصري + كشف المفهوم المفقود
SCR-CHD-029,الابن,تعلّمي,مراجعة اليوم,JRN-CHD-15,S-EDU-028,3,تعليمي,مراجعة متباعدة — ٥ دقائق ذكية يوميًا
SCR-CHD-030,الابن,عائلتي,أصدقائي,JRN-CHD-13,S-COM-022;S-COM-023,3,قائمة,طلب الإضافة يمر بموافقة الأب — لا مجهولين أبدًا
SCR-CHD-031,الابن,أنا,قادم لك 🎁,JRN-CHD-16,S-COM-015;S-COM-020;S-EDU-024;S-EDU-036;S-EDU-047,3,عرض,فهرس مرِح يقود لشاشات المرح الحية (ADR-023)
SCR-FAT-077,الوالدان,أبنائي,السلامة على الطريق,JRN-FAT-39,S-SEC-055;S-SEC-056;S-SEC-057,3,لوحة,كشف حوادث + تقرير قيادة + تنبيه جوال أثناء القيادة — أندرويد أولًا وبصدق معلن
SCR-FAT-078,الوالدان,الإعدادات,فلترة الراوتر المنزلي,JRN-FAT-40,S-SEC-018,3,إعدادات,حماية كل أجهزة البيت — إعداد مرة واحدة
SCR-FAT-079,الوالدان,اليوم,مساعدي الذكي — ماذا يفعل عني,JRN-FAT-41,S-AIC-030,3,إعدادات,قواعد تفويض صريحة — الوكيل لا يتجاوزها أبدًا
SCR-FAT-080,الوالدان,اليوم,ماذا فعل المساعد,JRN-FAT-41,S-AIC-031;S-AIC-032;S-AIC-033;S-AIC-034,3,قائمة,تنفيذ ضمن التفويض + إشعار فوري + تراجع ١٠ دقائق + سجل دائم لا يُحذف
SCR-FAT-081,الوالدان,أبنائي,مقارنة الأقران,JRN-FAT-33,S-SEC-054,3,عرض,مجهولة الهوية ومطمئنة — لا تشهير ولا أحكام
SCR-FAT-082,الوالدان,العائلة,موزع المهام الذكي,JRN-FAT-42,S-COM-036,3,إجراء,ChoreAI — عدالة وتنويع ومراعاة جداول الأبناء
SCR-FAT-083,الوالدان,اليوم,المحادثة الصوتية مع العقل,JRN-FAT-37,S-AIC-027,3,محادثة,الوضع الصوتي لاسأل العقل — نفس قواعد الصدق و«لا أعلم»
SCR-FAT-084,الوالدان,التعليم,مشروع بمراحل,JRN-FAT-43,S-EDU-062,3,معالج,مشروع تعليمي بمعالم ومكافآت مرحلية
SCR-CHD-032,الابن,تعلّمي,تلاوتي الذكية,JRN-CHD-18,S-EDU-040;S-AIC-023,3,تعليمي,تصحيح التلاوة بالعقل — لطيف وتحت القفل الديني
SCR-CHD-033,الابن,تعلّمي,قصصي التفاعلية,JRN-CHD-17,S-EDU-024,3,تعليمي,الابن بطل الحكاية — قراراته تغير المسار
SCR-CHD-034,الابن,أنا,التحديات العائلية,JRN-CHD-17,S-EDU-036,3,عرض,تنافس ودي عائلي — لا ترتيب مذل
SCR-CHD-035,الابن,تعلّمي,أصوات التركيز,JRN-CHD-17,S-EDU-047,3,إجراء,مطر وأمواج وهدوء — يتكامل مع وضع التركيز
SCR-CHD-036,الابن,عائلتي,مرح المكالمة,JRN-CHD-17,S-COM-015,3,مكالمة,ألعاب ورسم مشترك أثناء مكالمة العائلة
SCR-CHD-037,الابن,عائلتي,ملصقاتي وخلفياتي,JRN-CHD-17,S-COM-020,3,إجراء,تخصيص المحادثة — ضمن الدائرة الآمنة فقط
SCR-FAT-085,الوالدان,أبنائي,الأوضاع الذكية,JRN-FAT-44,S-SEC-001;S-SEC-002;S-SEC-003;S-SEC-006,1,إجراء,رمضان/امتحانات/إجازة/أعمار — لمسة واحدة تضبط كل شيء مع معاينة قبل التطبيق
SCR-FAT-086,الوالدان,اليوم,لحظات عائلتنا,JRN-FAT-45,S-AIC-019;S-EDU-030;S-COM-016,1,عرض,ملخص الجمعة الاحتفالي + بطاقة فخر قابلة للمشاركة — محرك الاحتفاظ الأسبوعي
