journey_id,user,name,trigger,goal,wave,services,frequency,criticality
JRN-MOT-04,الأم,التواصل مع الأبناء,أرادت الاطمئنان,رسالة أو مكالمة,1,S-COM-001;S-COM-002;S-COM-010;S-COM-011,يومية,حرجة
JRN-MOT-05,الأم,استقبال بلاغ استغاثة,ابنها في خطر,وصلت له,1,S-SEC-026;S-SEC-027;S-SEC-028,نادرة,حرجة قصوى
JRN-MOT-06,الأم,متابعة موقع ابنها,أرادت التأكد,عرفت موقعه,1,S-SEC-019;S-SEC-022;S-SEC-024,يومية,عالية
JRN-CHD-01,الابن,ربط جهازي وفهم القواعد,والده طلب الربط,فهم ماذا يُراقب ووافق,1,S-ADM-003;S-ADM-004,مرة واحدة,حرجة
JRN-CHD-02,الابن,يومي في لمحة,فتح التطبيق,عرف مهامه ووقته,1,S-ADM-036;S-SEC-025,يومية,حرجة
JRN-CHD-03,الابن,طلب النجدة,شعر بالخطر,وصل البلاغ لوالديه,1,S-SEC-026;S-SEC-027;S-SEC-028;S-SEC-031,نادرة,حرجة قصوى
JRN-CHD-04,الابن,التواصل مع عائلتي,أراد التحدث,رسالة أو مكالمة,1,S-COM-001;S-COM-002;S-COM-010;S-COM-011;S-COM-014,يومية,حرجة
JRN-CHD-05,الابن,معرفة ما يُجمع عني,أراد الاطمئنان,رأى فئات البيانات المجموعة,1,S-ADM-004,نادرة,عالية
JRN-SHR-01,مشترك,معالجة خطأ أو انقطاع شبكة,فشل الاتصال,فهم المشكلة وأعاد المحاولة,1,S-ADM-017,متكررة,عالية
JRN-FAT-15,الأب,ضبط وقت الشاشة لابن,لاحظ إفراطًا أو بدأ التنظيم,حدود وجداول نافذة على الجهاز,2,S-SEC-001;S-SEC-002;S-SEC-003;S-SEC-006;S-SEC-007,أسبوعية,حرجة
JRN-FAT-16,الأب,إدارة تطبيقات الابن,تطبيق جديد أو مراجعة دورية,قواعد تطبيقات واضحة ونافذة,2,S-SEC-008;S-SEC-009;S-SEC-010;S-SEC-011,أسبوعية,حرجة
JRN-FAT-17,الأب,ضبط فلترة الإنترنت,أراد حماية التصفح,فلترة ٢٩ فئة نشطة مع استثناءات,2,S-SEC-014;S-SEC-015;S-SEC-016;S-SEC-017,مرة ثم نادرة,حرجة
JRN-FAT-18,الأب,قفل فوري لحظة العشاء,أراد إيقافًا مؤقتًا الآن,الجهاز مقفول بلطف ومؤقت,2,S-SEC-047;S-SEC-048;S-SEC-049,يومية,عالية
JRN-FAT-19,الأب,معالجة محاولة تحايل,وصله تنبيه تحايل,فهم المحاولة وتصرف,2,S-SEC-042;S-SEC-043;S-SEC-044;S-SEC-045;S-SEC-046,نادرة,حرجة
JRN-FAT-20,الأب,ضبط وضع المدرسة,بداية الفصل الدراسي,جدول مدرسة نافذ تلقائيًا,2,S-SEC-058;S-SEC-059;S-SEC-060,فصلية,عالية
JRN-FAT-21,الأب,صناعة محتوى في الاستوديو,أراد درسًا أو اختبارًا لابنه,محتوى مولّد ومعتمد في ≤٩٠ ثانية,2,S-EDU-048;S-EDU-049;S-EDU-050;S-EDU-051;S-EDU-052;S-EDU-054;S-EDU-055;S-EDU-056;S-EDU-057;S-EDU-058;S-EDU-059;S-EDU-060;S-EDU-064;S-EDU-065,أسبوعية,حرجة
JRN-FAT-22,الأب,الاستفادة من مكتبة المجتمع,بحث عن محتوى جاهز,استورد أو نشر محتوى موثوقًا,2,S-EDU-053;S-EDU-063,أسبوعية,عالية
JRN-FAT-23,الأب,إدارة تعليم ابنه,تابع المواد والواجبات والنتائج,صورة تعليمية كاملة وإجراء,2,S-EDU-001;S-EDU-002;S-EDU-003;S-EDU-005;S-EDU-007;S-EDU-011;S-EDU-012;S-EDU-013;S-EDU-015;S-EDU-017;S-EDU-018;S-EDU-061,أسبوعية,حرجة
JRN-FAT-24,الأب,تنظيم التقويم العائلي,حدث عائلي أو موعد,تقويم هجري/ميلادي حي للجميع,2,S-COM-026;S-COM-027;S-COM-028;S-COM-029;S-COM-030;S-COM-031,أسبوعية,عالية
JRN-FAT-25,الأب,إسناد مهمة بمكافأة,أراد تعويد ابنه المسؤولية,مهمة مسندة ومكافأة مرتبطة,2,S-COM-032;S-COM-033;S-COM-034;S-COM-035,أسبوعية,عالية
JRN-FAT-26,الأب,إدارة الاشتراك,انتهاء التجربة أو ترقية,باقة مناسبة بلا مفاجآت,2,S-ADM-019;S-ADM-020;S-ADM-021;S-ADM-022;S-ADM-023;S-ADM-024,نادرة,حرجة
JRN-FAT-27,الأب,ضبط الإشعارات,إشعارات كثيرة أو مفقودة,إشعارات مجدولة بدرجات إلحاح,2,S-ADM-025;S-ADM-026;S-ADM-027;S-ADM-028;S-ADM-029,مرة ثم نادرة,عالية
JRN-FAT-28,الأب,الخصوصية والبيانات,أراد مراجعة أو تصديرًا أو نسيانًا,تحكم كامل بالبيانات وسجل تدقيق,2,S-ADM-030;S-ADM-031;S-ADM-032;S-ADM-034;S-AIC-017,نادرة,عالية
JRN-FAT-29,الأب,مراجعة أنماط العقل,ملخص أسبوعي أو فضول,فهم خط الأساس والشذوذ والروابط,2,S-AIC-007;S-AIC-008;S-AIC-009;S-AIC-010;S-AIC-011;S-AIC-012;S-AIC-013;S-AIC-014;S-AIC-015;S-AIC-016,أسبوعية,عالية
JRN-FAT-30,الأب,اللغة والمساعدة,احتاج دعمًا أو تغيير لغة,حل ذاتي سريع بالعربية,2,S-ADM-040;S-ADM-041;S-ADM-042,نادرة,متوسطة
JRN-MOT-07,الأم,الموافقة على طلب وقت إضافي,وصلها طلب من ابن,قرار خلال دقيقة (مشاركة+),2,S-SEC-004;S-SEC-005,يومية,عالية
JRN-MOT-08,الأم,متابعة التقويم والمهام,تدير تفاصيل اليوم,أحداث ومهام محدثة,2,S-COM-026;S-COM-031;S-COM-032;S-COM-034,يومية,عالية
JRN-CHD-06,الابن,طلب وقت إضافي,انتهى وقته وأراد المزيد,طلب مهذب وصل والديه,2,S-SEC-004,يومية,عالية
JRN-CHD-07,الابن,يوم دراسي كامل,لديه درس وواجب واختبار,أنجز وتعلم وكسب نقاطًا,2,S-EDU-002;S-EDU-004;S-EDU-008;S-EDU-009;S-EDU-014;S-EDU-015;S-EDU-016,يومية,حرجة
JRN-CHD-08,الابن,سؤال المعلم الذكي,علِق في مسألة,فهم بالتدرج لا بالجواب الجاهز,2,S-EDU-019;S-EDU-020;S-EDU-021;S-EDU-022;S-EDU-023,يومية,حرجة
JRN-CHD-09,الابن,جلسة تركيز للمذاكرة,وقت الواجب,جلسة بلا مشتتات ووقتها مجاني,2,S-EDU-042;S-EDU-043;S-EDU-044;S-EDU-045;S-SEC-060,يومية,عالية
JRN-CHD-10,الابن,نقاطي ومكافآتي,أنجز وأراد الثمرة,استبدل نقاطًا بوقت لعب,2,S-EDU-030;S-EDU-031;S-EDU-032;S-EDU-033;S-EDU-034;S-EDU-035,يومية,عالية
JRN-CHD-11,الابن,مشاركة لحظة مع العائلة,صورة أو وصول أو موقع,شارك بأمان داخل الدائرة,2,S-COM-016;S-COM-017;S-COM-018;S-COM-019;S-COM-037;S-COM-038;S-COM-039,يومية,عالية
JRN-CHD-12,الابن,مهامي المنزلية,أسندت له مهمة,أنجز وأكد وكسب المكافأة,2,S-COM-032;S-COM-034;S-COM-035,يومية,عالية
JRN-FAT-31,الأب,استقبال تنبيه ذكي والتصرف بحوار,رصد العقل كلمة مريبة أو مشاعر متدهورة,فهم الموقف وفتح حوار لا عقاب,3,S-SEC-032;S-SEC-033;S-SEC-034;S-SEC-035;S-SEC-036;S-AIC-022,متكررة,حرجة قصوى
JRN-FAT-32,الأب,ضبط الرقابة الذكية والمنصات,أراد تفعيل المراقبة الذكية,قائمة مراقبة ومنصات مضبوطة بشفافية,3,S-SEC-037;S-SEC-038;S-SEC-039;S-SEC-040;S-SEC-041,مرة ثم نادرة,حرجة
JRN-FAT-33,الأب,مراجعة تقرير الاستخدام,وصله التقرير أو فتح اللوحة,صورة كاملة عن استخدام كل ابن,3,S-SEC-050;S-SEC-051;S-SEC-052,أسبوعية,عالية
JRN-FAT-34,الأب,إدارة الدائرة الخارجية,طلب صديق جديد أو إضافة قريب,دائرة خارجية آمنة بموافقته وحده,3,S-COM-021;S-COM-022;S-COM-023;S-COM-024;S-COM-025,شهرية,حرجة
JRN-FAT-35,الأب,متابعة حفظ القرآن,أسند وردًا أو أراد الاطمئنان,خطة حفظ ومتابعة تقدم دقيقة,3,S-EDU-037;S-EDU-039,أسبوعية,عالية
JRN-FAT-36,الأب,قراءة التقرير الأسبوعي بتوصية,وصل التقرير صباح الجمعة,قرار تربوي واحد قابل للتنفيذ,3,S-AIC-019;S-SEC-053,أسبوعية,عالية
JRN-FAT-37,الأب,سؤال العقل بلغة طبيعية,خطر له سؤال عن أبنائه,إجابة صادقة من بيانات عائلته أو «لا أعلم»,3,S-AIC-024;S-AIC-025;S-AIC-026,متكررة,متوسطة
JRN-FAT-38,الأب,استكشاف الميزات القادمة,فضول أو حاجة لميزة مؤجلة,يعرف القادم ويحجز اهتمامه,3,S-SEC-055;S-SEC-056;S-SEC-057;S-AIC-030;S-AIC-031;S-AIC-032;S-AIC-033;S-AIC-034;S-SEC-018;S-SEC-054;S-COM-036;S-EDU-040;S-EDU-062;S-AIC-023;S-AIC-027,نادرة,متوسطة
JRN-MOT-09,الأم,استقبال إخطارات التحليلات,رصد العقل ما يستحق إخطارها,اطلاع حسب مستواها دون إغراق,3,S-AIC-029;S-AIC-028,متكررة,عالية
JRN-CHD-13,الابن,طلب إضافة صديق,تعرّف على صديق في المدرسة,صديق معتمد يتواصل معه بأمان,3,S-COM-022;S-COM-023,شهرية,حرجة
JRN-CHD-14,الابن,وردي اليومي — قرآن وأذكار,حان وقت الورد اليومي,حفظ وتلاوة وأذكار بتشجيع لا إثقال,3,S-EDU-037;S-EDU-038;S-EDU-039;S-EDU-041,يومية,عالية
JRN-CHD-15,الابن,خطتي الذكية ومراجعة اليوم,فتح تعلّمي أو وصلته مراجعة,تعلم يتكيف معه ويعالج فجواته,3,S-EDU-025;S-EDU-026;S-EDU-027;S-EDU-028;S-EDU-029;S-AIC-018;S-AIC-020,يومية,عالية
JRN-CHD-16,الابن,استكشاف المرح القادم,فضول داخل التطبيق,يعرف القادم له من مرح وإبداع,3,S-COM-015;S-COM-020;S-EDU-024;S-EDU-036;S-EDU-047,نادرة,متوسطة
JRN-FAT-39,الأب,متابعة السلامة على الطريق,ابنه بدأ يتنقل أو يقود,اطمئنان على تنقلات آمنة,3,S-SEC-055;S-SEC-056;S-SEC-057,أسبوعية,عالية
JRN-FAT-40,الأب,حماية شبكة المنزل,أراد فلترة على مستوى الراوتر,كل أجهزة البيت محمية بإعداد واحد,3,S-SEC-018,مرة ثم نادرة,متوسطة
JRN-FAT-41,الأب,تفويض الوكيل الذكي,أراد أتمتة قرارات روتينية,وكيل ينفذ ضمن حدوده بشفافية كاملة,3,S-AIC-030;S-AIC-031;S-AIC-032;S-AIC-033;S-AIC-034,أسبوعية,عالية
JRN-FAT-42,الأب,توزيع المهام بذكاء,أراد عدالة وتنويعًا في مهام الأبناء,مهام موزعة تلقائيًا بعدالة,3,S-COM-036,أسبوعية,متوسطة
JRN-FAT-43,الأب,إطلاق مشروع تعليمي بمراحل,أراد مشروعًا عمليًا ممتدًا لأبنائه,مشروع بمعالم ومكافآت مرحلية,3,S-EDU-062,شهرية,متوسطة
JRN-CHD-17,الابن,مرح وإبداع متقدم,وقت اللعب والإبداع,مرح آمن وغني داخل عائلته,3,S-COM-015;S-COM-020;S-EDU-024;S-EDU-036;S-EDU-047,يومية,متوسطة
JRN-CHD-18,الابن,تلاوتي الذكية,أراد تحسين تلاوته بنفسه,تلاوة مصححة بلطف وعلم,3,S-EDU-040;S-AIC-023,أسبوعية,عالية
JRN-FAT-44,الأب,ضبط وضع ذكي بلمسة,موسم جديد (رمضان/امتحانات) أو إعداد ابن,كل قواعد الابن مضبوطة بلمسة واحدة مع معاينة,1,S-SEC-001;S-SEC-002;S-SEC-003;S-SEC-006;S-ADM-025,فصلية,عالية
JRN-FAT-45,الأب,لحظة الفخر الأسبوعية,صباح الجمعة وصله الملخص الاحتفالي,فرح ومشاركة بطاقة فخر مع العائلة,1,S-AIC-019;S-EDU-030;S-COM-016,أسبوعية,عالية
